i,j,similarity,url_i,url_j
4,12,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.connectwise.com/blog/phishing-prevention-tips
4,18,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.hpe.com/us/en/what-is/sd-wan.html
4,20,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c
4,23,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.cloudflare.com/learning/access-management/what-is-ztna/
4,40,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d
4,41,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/
4,51,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.investopedia.com/terms/s/seo.asp
4,55,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF
4,75,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.reuters.com/technology/artificial-intelligence/
4,76,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.cnbc.com/artificial-intelligence/
4,77,1.0,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,https://www.bbc.com/news/topics/c404v061z99t
12,18,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://www.hpe.com/us/en/what-is/sd-wan.html
12,20,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c
12,23,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://www.cloudflare.com/learning/access-management/what-is-ztna/
12,40,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d
12,41,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/
12,51,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://www.investopedia.com/terms/s/seo.asp
12,55,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF
12,75,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://www.reuters.com/technology/artificial-intelligence/
12,76,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://www.cnbc.com/artificial-intelligence/
12,77,1.0,https://www.connectwise.com/blog/phishing-prevention-tips,https://www.bbc.com/news/topics/c404v061z99t
18,20,1.0,https://www.hpe.com/us/en/what-is/sd-wan.html,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c
18,23,1.0,https://www.hpe.com/us/en/what-is/sd-wan.html,https://www.cloudflare.com/learning/access-management/what-is-ztna/
18,40,1.0,https://www.hpe.com/us/en/what-is/sd-wan.html,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d
18,41,1.0,https://www.hpe.com/us/en/what-is/sd-wan.html,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/
18,51,1.0,https://www.hpe.com/us/en/what-is/sd-wan.html,https://www.investopedia.com/terms/s/seo.asp
18,55,1.0,https://www.hpe.com/us/en/what-is/sd-wan.html,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF
18,75,1.0,https://www.hpe.com/us/en/what-is/sd-wan.html,https://www.reuters.com/technology/artificial-intelligence/
18,76,1.0,https://www.hpe.com/us/en/what-is/sd-wan.html,https://www.cnbc.com/artificial-intelligence/
18,77,1.0,https://www.hpe.com/us/en/what-is/sd-wan.html,https://www.bbc.com/news/topics/c404v061z99t
20,23,1.0,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c,https://www.cloudflare.com/learning/access-management/what-is-ztna/
20,40,1.0,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d
20,41,1.0,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/
20,51,1.0,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c,https://www.investopedia.com/terms/s/seo.asp
20,55,1.0,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF
20,75,1.0,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c,https://www.reuters.com/technology/artificial-intelligence/
20,76,1.0,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c,https://www.cnbc.com/artificial-intelligence/
20,77,1.0,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c,https://www.bbc.com/news/topics/c404v061z99t
23,40,1.0,https://www.cloudflare.com/learning/access-management/what-is-ztna/,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d
23,41,1.0,https://www.cloudflare.com/learning/access-management/what-is-ztna/,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/
23,51,1.0,https://www.cloudflare.com/learning/access-management/what-is-ztna/,https://www.investopedia.com/terms/s/seo.asp
23,55,1.0,https://www.cloudflare.com/learning/access-management/what-is-ztna/,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF
23,75,1.0,https://www.cloudflare.com/learning/access-management/what-is-ztna/,https://www.reuters.com/technology/artificial-intelligence/
23,76,1.0,https://www.cloudflare.com/learning/access-management/what-is-ztna/,https://www.cnbc.com/artificial-intelligence/
23,77,1.0,https://www.cloudflare.com/learning/access-management/what-is-ztna/,https://www.bbc.com/news/topics/c404v061z99t
40,41,1.0,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/
40,51,1.0,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d,https://www.investopedia.com/terms/s/seo.asp
40,55,1.0,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF
40,75,1.0,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d,https://www.reuters.com/technology/artificial-intelligence/
40,76,1.0,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d,https://www.cnbc.com/artificial-intelligence/
40,77,1.0,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d,https://www.bbc.com/news/topics/c404v061z99t
41,51,1.0,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/,https://www.investopedia.com/terms/s/seo.asp
41,55,1.0,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF
41,75,1.0,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/,https://www.reuters.com/technology/artificial-intelligence/
41,76,1.0,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/,https://www.cnbc.com/artificial-intelligence/
41,77,1.0,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/,https://www.bbc.com/news/topics/c404v061z99t
51,55,1.0,https://www.investopedia.com/terms/s/seo.asp,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF
51,75,1.0,https://www.investopedia.com/terms/s/seo.asp,https://www.reuters.com/technology/artificial-intelligence/
51,76,1.0,https://www.investopedia.com/terms/s/seo.asp,https://www.cnbc.com/artificial-intelligence/
51,77,1.0,https://www.investopedia.com/terms/s/seo.asp,https://www.bbc.com/news/topics/c404v061z99t
55,75,1.0,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF,https://www.reuters.com/technology/artificial-intelligence/
55,76,1.0,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF,https://www.cnbc.com/artificial-intelligence/
55,77,1.0,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF,https://www.bbc.com/news/topics/c404v061z99t
75,76,1.0,https://www.reuters.com/technology/artificial-intelligence/,https://www.cnbc.com/artificial-intelligence/
75,77,1.0,https://www.reuters.com/technology/artificial-intelligence/,https://www.bbc.com/news/topics/c404v061z99t
76,77,1.0,https://www.cnbc.com/artificial-intelligence/,https://www.bbc.com/news/topics/c404v061z99t
